Gen,Time
0,102.961
1,103.009
2,112.692
3,97.712
4,84.29
5,89.877
6,96.422
7,96.047
8,102.718
9,106.081
10,106.406
11,119.088
12,113.146
13,113.794
14,119.635
15,115.212
16,128.963
17,122.554
18,127.345
19,113.299
20,112.649
21,121.226
22,118.439
23,115.194
24,116.462
25,115.531
26,114.163
27,119.296
28,121.192
29,118.118
30,120.34
31,124.912
32,117.043
33,121.933
34,116.513
35,114.239
36,115.027
37,118.027
38,121.601
39,114.467
40,111.778
41,112.396
42,112.13
43,122.558
44,117.268
45,120.392
46,115.015
47,121.878
48,119.669
49,113.533
