Gen,Time
0,91.167
1,77.67
2,76.613
3,63.372
4,58.305
5,66.272
6,82.691
7,79.377
8,70.196
9,67.901
10,74.814
11,80.781
12,87.406
13,80.014
14,81.875
15,81.429
16,84.684
17,82.841
18,80.461
19,87.121
20,85.237
21,89.594
22,89.927
23,94.207
24,94.806
25,93.674
26,84.029
27,74.686
28,78.434
29,86.286
30,104.815
31,112.343
32,110.98
33,115.361
34,121.183
35,468.905
36,117.531
37,122.522
38,121.557
39,127.288
40,118.273
41,114.312
42,111.338
43,110.489
44,118.611
45,119.985
46,122.844
47,126.325
48,125.481
49,125.501
