generation,best_fitness,average_flow_time,best_individual_fitness
0,0.003196,NaN,0.003196
1,0.003226,NaN,0.003226
2,0.003239,NaN,0.003239
3,0.003243,NaN,0.003243
4,0.003274,NaN,0.003274
5,0.003274,NaN,0.003274
6,0.003274,NaN,0.003274
7,0.003274,NaN,0.003274
8,0.003274,NaN,0.003274
9,0.003286,NaN,0.003286
10,0.003286,NaN,0.003286
11,0.003286,NaN,0.003286
12,0.003286,NaN,0.003286
13,0.003286,NaN,0.003286
14,0.003286,NaN,0.003286
15,0.003286,NaN,0.003286
16,0.003286,NaN,0.003286
17,0.003286,NaN,0.003286
18,0.003290,NaN,0.003290
19,0.003290,NaN,0.003290
20,0.003290,NaN,0.003290
21,0.003290,NaN,0.003290
22,0.003295,NaN,0.003295
23,0.003295,NaN,0.003295
24,0.003295,NaN,0.003295
25,0.003296,NaN,0.003296
26,0.003296,NaN,0.003296
27,0.003296,NaN,0.003296
28,0.003296,NaN,0.003296
29,0.003296,NaN,0.003296
30,0.003299,NaN,0.003299
31,0.003299,NaN,0.003299
32,0.003299,NaN,0.003299
33,0.003299,NaN,0.003299
34,0.003299,NaN,0.003299
35,0.003300,NaN,0.003300
36,0.003312,NaN,0.003312
37,0.003312,NaN,0.003312
38,0.003312,NaN,0.003312
39,0.003312,NaN,0.003312
40,0.003312,NaN,0.003312
41,0.003312,NaN,0.003312
42,0.003312,NaN,0.003312
43,0.003312,NaN,0.003312
44,0.003312,NaN,0.003312
45,0.003312,NaN,0.003312
46,0.003312,NaN,0.003312
47,0.003312,NaN,0.003312
48,0.003312,NaN,0.003312
49,0.003312,NaN,0.003312
