generation,best_individual_fitness,mean_fitness,tree
0,375.3184090200332,694.63997,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (- (min PT SLACK) (* NPT SLACK)) (* (exp _10) (* TimeTillDue TimeTillDue)))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
1,183.4652583099859,584.93269,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (if WINQ WINQ NPT) PT)) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
2,175.03689922829776,505.91624,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (if WINQ WINQ NPT) PT)) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
3,169.7580527465844,492.17503,"(/ ODD PT)"
4,169.7580527465844,449.14619,"(/ ODD PT)"
5,169.7580527465844,502.23090,"(/ ODD PT)"
6,169.7580527465844,401.99113,"(/ ODD PT)"
7,169.7580527465844,421.54792,"(/ ODD PT)"
8,169.7580527465844,417.17011,"(/ ODD PT)"
9,169.7580527465844,558.06310,"(/ ODD PT)"
10,169.7337726500172,552.51706,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (if RemProcTime PT _0.5) (/ (/ _2 _0.1) (/ _5 _1)))) (+ (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (+ NPT SLACK))) (+ (if WINQ WINQ NPT) PT)) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (max PT _10))))"
11,169.50251581510344,736.46797,"(* (- (- (+ NPT SLACK) _1) (* (min _0.1 _2) (max PT _10))) (+ _0.1 PT))"
12,169.03233946550435,727.16892,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (if RemProcTime PT _0.5) (/ (/ _2 _0.1) (/ _5 _1)))) (+ (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (+ NPT SLACK))) (+ (if WINQ WINQ NPT) PT)) (min _0.5 (max PT _10))))"
13,169.03233946550435,650.96198,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (if RemProcTime PT _0.5) (/ (/ _2 _0.1) (/ _5 _1)))) (+ (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (+ NPT SLACK))) (+ (if WINQ WINQ NPT) PT)) (min _0.5 (max PT _10))))"
14,169.03233946550435,705.41467,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (if RemProcTime PT _0.5) (/ (/ _2 _0.1) (/ _5 _1)))) (+ (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (+ NPT SLACK))) (+ (if WINQ WINQ NPT) PT)) (min _0.5 (max PT _10))))"
