generation,best_individual_fitness,mean_fitness,tree
0,1709.7081283881992,4435.74388,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
1,1709.7081283881992,3624.46770,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
2,982.372005609293,3013.37481,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
3,982.372005609293,2650.83044,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
4,978.1967582133997,2440.32756,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (max PT _10)))))"
5,972.1708516229313,2211.79747,"(* (exp (+ (exp _1) (max (/ _5 _1) (max PT PT)))) (* (max (exp _0) (/ (max SSD LLD) (exp TimeInSystem))) (- (if NPT _0 OpsLeft) (* ODD ODD))))"
6,972.1708516229313,2427.00798,"(* (exp (+ (exp _1) (max (/ _5 _1) (max PT PT)))) (* (max (exp _0) (/ (max SSD LLD) (exp TimeInSystem))) (- (if NPT _0 OpsLeft) (* ODD ODD))))"
7,972.1708516229313,2010.68565,"(* (exp (+ (exp _1) (max (/ _5 _1) (max PT PT)))) (* (max (exp _0) (/ (max SSD LLD) (exp TimeInSystem))) (- (if NPT _0 OpsLeft) (* ODD ODD))))"
8,972.1708516229313,2127.50694,"(* (exp (+ (exp _1) (max (/ _5 _1) (max PT PT)))) (* (max (exp _0) (/ (max SSD LLD) (exp TimeInSystem))) (- (if NPT _0 OpsLeft) (* ODD ODD))))"
9,972.1694872654974,2654.44813,"(* (exp (+ (exp _1) (max (/ _5 _1) (max PT PT)))) (* (max (exp _0) (/ (- (+ _5 RemProcTime) (exp _0)) (exp TimeInSystem))) (- (if NPT _0 OpsLeft) (* ODD ODD))))"
