Gen,Time
0,16.354
1,15.506
2,1073.726
3,982.825
4,1011.036
5,1024.373
6,915.516
7,31.744
8,27.486
9,30.223
10,26.592
11,26.604
12,28.337
13,974.864
14,1029.754
15,78.75
16,3019.515
17,958.628
18,28.947
19,26.178
20,26.395
21,26.268
22,24.512
23,24.782
24,918.092
25,1936.44
26,2018.263
27,23.523
28,26.399
29,2126.865
30,1894.326
31,26.846
32,26.815
33,25.55
34,25.624
35,24.571
36,26.422
37,24.641
38,899.321
39,1090.808
40,23.219
41,929.709
42,15.578
43,1069.217
44,964.678
45,18.148
46,1013.889
47,26.392
48,1013.295
49,16.997
