generation,best_individual_fitness,mean_fitness,tree
0,1659.7417741190704,3519.74942,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
1,1601.798022353463,2995.79592,"(+ (* (max (if (if SLACK TimeTillDue RemProcTime) (* _0.5 PT) (* TimeInSystem TimeInQueue)) (/ (min TimeInSystem TimeTillDue) (min _10 _0))) (* (* (+ SLACK _1) (if TimeTillDue _2 ODD)) (min (+ _5 _5) TimeInSystem))) (- (- (if (+ _0.1 SLACK) (+ RemProcTime _0.5) (min _2 _0.1)) (min (exp _0) (exp WINQ))) (if (* (+ TimeInSystem _0.5) (* _10 _1)) (/ (max ODD SLACK) (if TimeInSystem LLD _0.5)) (min (if WINQ TimeInQueue SLACK) (min TimeInSystem RemProcTime)))))"
2,1074.9388150588711,2756.42093,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
3,1068.333430960505,2612.23145,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (- (/ TimeInSystem _0) (/ _0.1 TimeInQueue))))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
4,1068.333430960505,2154.56756,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (- (/ TimeInSystem _0) (/ _0.1 TimeInQueue))))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
5,1064.2050812499126,1913.08339,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) (exp _0.1)))))"
6,1060.557077358999,2102.76963,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (- (max PT _10) (/ _0.1 TimeInQueue))))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
7,1060.518348783072,2041.68182,"(* (- (- (+ _5 RemProcTime) (exp _0)) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (/ _5 _1)))"
8,1056.8752947812557,2110.20890,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) (exp _0.1)))))"
9,1056.8752034613196,2048.78602,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (+ _2 _1))))"
10,1056.8752034613196,1801.43945,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (+ _2 _1))))"
11,1056.8750772108995,1819.77734,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
12,1056.8750772108995,1601.43836,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
13,1055.9227706951312,2023.48266,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
14,1055.9227706951312,1733.34698,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
15,1055.8038311583844,1466.46979,"(* (- (- (min (- (max _1 _1) (+ _10 PT)) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (max (+ _10 PT) (min _10 _0))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
16,1055.8038311583844,2014.17518,"(* (- (- (min (- (max _1 _1) (+ _10 PT)) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (max (+ _10 PT) (min _10 _0))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (exp _0) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue SLACK))) (- (max _1 _1) PT))))"
17,1052.2884605365539,1642.34815,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (- (exp _0) (if _1 PT OpsLeft)) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue TimeInQueue))) (- (max _1 _1) PT))))"
18,1052.2884605365539,2079.13473,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (- (exp _0) (if _1 PT OpsLeft)) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue TimeInQueue))) (- (max _1 _1) PT))))"
19,1052.2884605365539,1916.22000,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (/ _0 PT) (max _5 _0.5))) (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (min _10 _0)) (/ (/ _2 _0.1) (/ _5 _0.1))))) (max (- (- (min (+ RemProcTime NPT) (if TimeTillDue _10 PT)) (- (exp _0) (if _1 PT OpsLeft))) (- (- (exp _0) (if _1 PT OpsLeft)) (if _1 PT OpsLeft))) (min (exp (max (+ _10 PT) (- TimeInQueue TimeInQueue))) (- (max _1 _1) PT))))"
