generation,best_individual_fitness,mean_fitness,tree
0,897.0091585424751,3435.01848,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
1,897.0091585424751,1958.59381,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
2,897.0091585424751,1115.90357,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
3,897.0091585424751,Infinity,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
4,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
5,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
6,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
7,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
8,897.0091585424751,974.49902,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
9,897.0091585424751,1030.92579,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
10,897.0091585424751,1127.25873,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
11,897.0091585424751,1130.52458,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
12,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
13,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
14,897.0091585424751,1074.30428,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
15,897.0091585424751,Infinity,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
16,897.0091585424751,970.85990,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
17,897.0091585424751,1087.90299,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
18,897.0091585424751,1021.87968,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
19,897.0091585424751,971.17231,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
20,897.0091585424751,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(if_ex (GT Util _0.95) (* _0 (- LLD RemProcTime)) (if_ex (GT RemProcTime NPT) (exp SPT) (if SLACK (+ SSD RemProcTime) SPT)))"
