generation,best_individual_fitness,mean_fitness,tree
0,230.80197180129653,701.30365,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
1,230.80197180129653,535.54334,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
2,230.80197180129653,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
3,230.80197180129653,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
4,230.80197180129653,230.80197,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
5,230.80197180129653,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
6,230.80197180129653,245.95602,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
7,226.4374046166887,266.07114,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
8,226.4374046166887,262.88661,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
9,226.4374046166887,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
10,226.4374046166887,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
11,226.4374046166887,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
12,226.4374046166887,261.20969,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
13,226.4374046166887,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
14,226.4374046166887,239.69464,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
15,226.4374046166887,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
16,226.4374046166887,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
17,226.4374046166887,266.48918,"(* (- (exp (/ PT (max _0.1 SLACK))) SLACK) (- LLD RemProcTime))"
18,177.6068293788272,253.39657,"(* (- (exp (/ PT (max _0.1 (+ SLACK _2)))) OpsLeft) SLACK)"
19,177.6068293788272,275.98680,"(* (- (exp (/ PT (max _0.1 (+ SLACK _2)))) OpsLeft) SLACK)"
