generation,best_individual_fitness,mean_fitness,tree
0,292.6527339699905,991.28574,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
1,292.6527339699905,736.14768,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
2,292.6527339699905,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
3,292.6527339699905,335.74084,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
4,292.6527339699905,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
5,292.6527339699905,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
6,292.6527339699905,322.76405,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
7,243.92098474622355,319.59280,"(+ (* (exp (/ PT (max _0.1 (+ SLACK _10)))) (/ SLACK _0.5)) SLACK)"
8,243.92098474622355,302.39361,"(+ (* (exp (/ PT (max _0.1 (+ SLACK _10)))) (/ SLACK _0.5)) SLACK)"
9,243.92098474622355,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(+ (* (exp (/ PT (max _0.1 (+ SLACK _10)))) (/ SLACK _0.5)) SLACK)"
10,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
11,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
12,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
13,238.1468327459057,253.36995,"(* (/ PT (max _0.1 SSD)) SLACK)"
14,238.1468327459057,271.87385,"(* (/ PT (max _0.1 SSD)) SLACK)"
15,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
16,238.1468327459057,273.03892,"(* (/ PT (max _0.1 SSD)) SLACK)"
17,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
18,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
19,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
20,238.1468327459057,269.16853,"(* (/ PT (max _0.1 SSD)) SLACK)"
21,238.1468327459057,251.41926,"(* (/ PT (max _1 SSD)) SLACK)"
22,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
23,238.1468327459057,269.78057,"(* (/ PT (max _0.1 SSD)) SLACK)"
24,238.1468327459057,249.42616,"(* (/ PT (max _0.1 SSD)) SLACK)"
25,238.1468327459057,253.63678,"(* (/ PT (max _0.1 SSD)) SLACK)"
26,238.1468327459057,238.14683,"(* (/ PT (max _1 SSD)) SLACK)"
27,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
28,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
29,238.1468327459057,258.84543,"(* (/ PT (max _0.1 SSD)) SLACK)"
30,238.1468327459057,Infinity,"(* (/ PT (max _0.1 SSD)) SLACK)"
31,238.1468327459057,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (/ PT (max _0.1 SSD)) SLACK)"
32,238.1468327459057,279.06180,"(* (/ PT (max _0.1 SSD)) SLACK)"
