generation,best_individual_fitness,mean_fitness,tree
0,891.7686600749288,2028.99799,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
1,881.0438561910122,1688.34432,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (/ (max (+ _10 _10) (min _2 OpsLeft)) (if (* TimeTillDue SLACK) (+ _5 _1) (- WINQ _5))) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (+ _5 TimeTillDue) (/ _0 PT)))))"
2,432.70735400825714,1456.86843,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (* (min _0.1 _2) (if _0.5 LLD TimeInQueue)) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
3,429.5333511639748,1297.31497,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (- (min PT SLACK) (* NPT SLACK)) (* (exp _10) (* TimeTillDue TimeTillDue)))) (max _1 (if RemProcTime RemProcTime _5))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (- NPT (* _0.5 RemProcTime)) (/ _0 PT)))))"
4,429.0083982576851,1350.96620,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (- TimeInQueue SLACK)) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (if (+ (exp _10) (+ _2 _1)) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
5,426.10832573634247,1234.54506,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (min TimeInSystem RemProcTime)) (max (- (min (+ RemProcTime NPT) (exp _0)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (- (max _1 _1) (exp _0.1)))))"
6,424.1525423783037,1005.96896,"(* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (min TimeInSystem RemProcTime)) (max (- (min (+ RemProcTime NPT) (exp _0)) (- (/ _0.5 SSD) (if _1 PT OpsLeft))) (min (exp (/ _0 OpsLeft)) (exp (* (/ _5 _1) (max PT _10))))))"
7,422.90225291641565,1033.92911,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (+ _5 _10) (/ (/ _2 _0.1) (/ _5 _0.1)))) (+ (* (- (- (min (if NPT TimeInSystem TimeInSystem) (+ NPT SLACK)) (+ (if RemProcTime PT _0.5) (max _5 _0.5))) (+ (+ _2 _1) (* (exp _10) (* TimeTillDue TimeTillDue)))) (max _1 (if RemProcTime RemProcTime _5))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- (- NPT (* _0.5 RemProcTime)) (/ _0 PT)))))"
8,419.24569691373716,1121.07325,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10))) (exp _10))) (+ (if (/ _5 _0.1) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ (max _5 _0.5) _10)) (- SLACK (/ _0 PT)))))"
9,419.24569691373716,1147.00844,"(* (* (exp (* (/ _5 _1) (max PT _10))) (* (max (+ _10 PT) (if RemProcTime PT _0.5)) (exp _10))) (+ (if (+ (* (exp _10) (* TimeTillDue TimeTillDue)) (exp _0)) (min TimeInQueue _0.1) (- (+ _5 RemProcTime) (exp _0))) (min (if (min TimeInQueue _0.1) (if _5 _0.1 _2) (+ _5 _10)) (- SLACK (/ _0 PT)))))"
